,img_idx,age_label,age_cat,gender_label,ethnicity_label,gender,ethnicity,age,data_file
6847,data/utk_face/images/1_1_2_20161219154531437.jpg.chip.jpg,0,0-2,1,2,female,asian,1,utk_face
5063,data/utk_face/images/33_1_3_20170119164429486.jpg.chip.jpg,4,31-40,1,3,female,indian,33,utk_face
19301,data/utk_face/images/5_0_3_20161220223210595.jpg.chip.jpg,1,3-6,0,3,male,indian,5,utk_face
6692,data/utk_face/images/42_0_0_20170117171624633.jpg.chip.jpg,5,41-65,0,0,male,white,42,utk_face
13929,data/utk_face/images/38_1_3_20170119163208659.jpg.chip.jpg,4,31-40,1,3,female,indian,38,utk_face
14556,data/utk_face/images/40_0_0_20170104202600778.jpg.chip.jpg,4,31-40,0,0,male,white,40,utk_face
2459,data/utk_face/images/29_0_4_20170117202634086.jpg.chip.jpg,3,15-30,0,4,male,other,29,utk_face
19567,data/utk_face/images/24_1_2_20170116171557699.jpg.chip.jpg,3,15-30,1,2,female,asian,24,utk_face
3548,data/utk_face/images/61_0_0_20170104213246805.jpg.chip.jpg,5,41-65,0,0,male,white,61,utk_face
17421,data/utk_face/images/60_0_0_20170109002333882.jpg.chip.jpg,5,41-65,0,0,male,white,60,utk_face
18262,data/utk_face/images/59_0_0_20170104002111294.jpg.chip.jpg,5,41-65,0,0,male,white,59,utk_face
862,data/utk_face/images/53_1_0_20170109220402884.jpg.chip.jpg,5,41-65,1,0,female,white,53,utk_face
19132,data/utk_face/images/55_1_0_20170117174940936.jpg.chip.jpg,5,41-65,1,0,female,white,55,utk_face
18746,data/utk_face/images/14_1_3_20170104221807127.jpg.chip.jpg,2,7-14,1,3,female,indian,14,utk_face
7438,data/utk_face/images/85_0_1_20170111210314652.jpg.chip.jpg,6,66-116,0,1,male,black,85,utk_face
7429,data/utk_face/images/4_1_1_20170112213257263.jpg.chip.jpg,1,3-6,1,1,female,black,4,utk_face
3680,data/utk_face/images/40_0_4_20170117013731866.jpg.chip.jpg,4,31-40,0,4,male,other,40,utk_face
23107,data/utk_face/images/39_0_4_20170104200746817.jpg.chip.jpg,4,31-40,0,4,male,other,39,utk_face
17923,data/utk_face/images/60_1_0_20170113005301686.jpg.chip.jpg,5,41-65,1,0,female,white,60,utk_face
20310,data/utk_face/images/35_0_0_20170120223253707.jpg.chip.jpg,4,31-40,0,0,male,white,35,utk_face
9220,data/utk_face/images/27_0_3_20170119210058457.jpg.chip.jpg,3,15-30,0,3,male,indian,27,utk_face
18984,data/utk_face/images/26_0_4_20170117154033686.jpg.chip.jpg,3,15-30,0,4,male,other,26,utk_face
9396,data/utk_face/images/2_0_2_20161219204927996.jpg.chip.jpg,0,0-2,0,2,male,asian,2,utk_face
21606,data/utk_face/images/32_0_3_20170119160433674.jpg.chip.jpg,4,31-40,0,3,male,indian,32,utk_face
23293,data/utk_face/images/61_1_0_20170117175122341.jpg.chip.jpg,5,41-65,1,0,female,white,61,utk_face
9705,data/utk_face/images/58_0_0_20170104213016013.jpg.chip.jpg,5,41-65,0,0,male,white,58,utk_face
14512,data/utk_face/images/24_1_2_20170104022044502.jpg.chip.jpg,3,15-30,1,2,female,asian,24,utk_face
14330,data/utk_face/images/37_1_1_20170117014034055.jpg.chip.jpg,4,31-40,1,1,female,black,37,utk_face
10581,data/utk_face/images/35_0_4_20170109001216009.jpg.chip.jpg,4,31-40,0,4,male,other,35,utk_face
17198,data/utk_face/images/23_1_4_20170103223615095.jpg.chip.jpg,3,15-30,1,4,female,other,23,utk_face
23588,data/utk_face/images/64_0_3_20170113182054044.jpg.chip.jpg,5,41-65,0,3,male,indian,64,utk_face
22471,data/utk_face/images/77_0_0_20170111222228671.jpg.chip.jpg,6,66-116,0,0,male,white,77,utk_face
10337,data/utk_face/images/38_1_1_20170117203703512.jpg.chip.jpg,4,31-40,1,1,female,black,38,utk_face
12874,data/utk_face/images/46_0_1_20170117182528088.jpg.chip.jpg,5,41-65,0,1,male,black,46,utk_face
6036,data/utk_face/images/26_0_0_20170116224934139.jpg.chip.jpg,3,15-30,0,0,male,white,26,utk_face
11727,data/utk_face/images/67_1_0_20170120224807800.jpg.chip.jpg,6,66-116,1,0,female,white,67,utk_face
3724,data/utk_face/images/90_0_0_20170111211415063.jpg.chip.jpg,6,66-116,0,0,male,white,90,utk_face
22128,data/utk_face/images/26_0_0_20170117172222445.jpg.chip.jpg,3,15-30,0,0,male,white,26,utk_face
375,data/utk_face/images/36_1_4_20170104172843788.jpg.chip.jpg,4,31-40,1,4,female,other,36,utk_face
8066,data/utk_face/images/58_0_1_20170113174734929.jpg.chip.jpg,5,41-65,0,1,male,black,58,utk_face
8425,data/utk_face/images/9_0_0_20170102235122268.jpg.chip.jpg,2,7-14,0,0,male,white,9,utk_face
23301,data/utk_face/images/25_0_0_20170117195127741.jpg.chip.jpg,3,15-30,0,0,male,white,25,utk_face
20393,data/utk_face/images/60_0_1_20170117160042904.jpg.chip.jpg,5,41-65,0,1,male,black,60,utk_face
21432,data/utk_face/images/68_1_0_20170103183639034.jpg.chip.jpg,6,66-116,1,0,female,white,68,utk_face
17425,data/utk_face/images/28_1_1_20170115235013113.jpg.chip.jpg,3,15-30,1,1,female,black,28,utk_face
3059,data/utk_face/images/26_0_1_20170113175359836.jpg.chip.jpg,3,15-30,0,1,male,black,26,utk_face
3824,data/utk_face/images/27_0_1_20170117013657018.jpg.chip.jpg,3,15-30,0,1,male,black,27,utk_face
5470,data/utk_face/images/2_0_0_20170109193935916.jpg.chip.jpg,0,0-2,0,0,male,white,2,utk_face
9200,data/utk_face/images/50_0_0_20170104170550929.jpg.chip.jpg,5,41-65,0,0,male,white,50,utk_face
9285,data/utk_face/images/32_0_3_20170104204208194.jpg.chip.jpg,4,31-40,0,3,male,indian,32,utk_face
3097,data/utk_face/images/55_0_3_20170119181109749.jpg.chip.jpg,5,41-65,0,3,male,indian,55,utk_face
3915,data/utk_face/images/12_1_0_20170109205104124.jpg.chip.jpg,2,7-14,1,0,female,white,12,utk_face
895,data/utk_face/images/48_0_3_20170119201847821.jpg.chip.jpg,5,41-65,0,3,male,indian,48,utk_face
13741,data/utk_face/images/7_1_0_20170109205432160.jpg.chip.jpg,2,7-14,1,0,female,white,7,utk_face
13431,data/utk_face/images/1_0_0_20161219140642920.jpg.chip.jpg,0,0-2,0,0,male,white,1,utk_face
15732,data/utk_face/images/49_0_0_20170104212516069.jpg.chip.jpg,5,41-65,0,0,male,white,49,utk_face
13608,data/utk_face/images/35_0_0_20170117120948071.jpg.chip.jpg,4,31-40,0,0,male,white,35,utk_face
19091,data/utk_face/images/22_1_1_20170112203821018.jpg.chip.jpg,3,15-30,1,1,female,black,22,utk_face
7846,data/utk_face/images/26_1_1_20170113011621775.jpg.chip.jpg,3,15-30,1,1,female,black,26,utk_face
4417,data/utk_face/images/11_1_0_20170103200517422.jpg.chip.jpg,2,7-14,1,0,female,white,11,utk_face
16828,data/utk_face/images/47_1_0_20170109011110873.jpg.chip.jpg,5,41-65,1,0,female,white,47,utk_face
20434,data/utk_face/images/25_1_3_20170119172052720.jpg.chip.jpg,3,15-30,1,3,female,indian,25,utk_face
3336,data/utk_face/images/20_1_4_20170103233719339.jpg.chip.jpg,3,15-30,1,4,female,other,20,utk_face
1785,data/utk_face/images/77_1_0_20170110140346806.jpg.chip.jpg,6,66-116,1,0,female,white,77,utk_face
16072,data/utk_face/images/24_0_2_20170116172518044.jpg.chip.jpg,3,15-30,0,2,male,asian,24,utk_face
18330,data/utk_face/images/26_1_3_20170119180539188.jpg.chip.jpg,3,15-30,1,3,female,indian,26,utk_face
8843,data/utk_face/images/33_1_0_20170112211922374.jpg.chip.jpg,4,31-40,1,0,female,white,33,utk_face
9669,data/utk_face/images/25_1_0_20170103175643807.jpg.chip.jpg,3,15-30,1,0,female,white,25,utk_face
18649,data/utk_face/images/58_0_0_20170117191918155.jpg.chip.jpg,5,41-65,0,0,male,white,58,utk_face
19573,data/utk_face/images/53_0_3_20170119205914040.jpg.chip.jpg,5,41-65,0,3,male,indian,53,utk_face
2381,data/utk_face/images/30_1_1_20170113011807912.jpg.chip.jpg,3,15-30,1,1,female,black,30,utk_face
1531,data/utk_face/images/31_0_4_20170117153920514.jpg.chip.jpg,4,31-40,0,4,male,other,31,utk_face
23153,data/utk_face/images/34_0_0_20170116214408892.jpg.chip.jpg,4,31-40,0,0,male,white,34,utk_face
15210,data/utk_face/images/26_1_3_20170119193128490.jpg.chip.jpg,3,15-30,1,3,female,indian,26,utk_face
20492,data/utk_face/images/26_0_3_20170119154206922.jpg.chip.jpg,3,15-30,0,3,male,indian,26,utk_face
11331,data/utk_face/images/10_1_0_20170109203924076.jpg.chip.jpg,2,7-14,1,0,female,white,10,utk_face
5292,data/utk_face/images/38_1_0_20170103184101115.jpg.chip.jpg,4,31-40,1,0,female,white,38,utk_face
2576,data/utk_face/images/11_1_3_20170104223632543.jpg.chip.jpg,2,7-14,1,3,female,indian,11,utk_face
13609,data/utk_face/images/9_0_0_20170110215516060.jpg.chip.jpg,2,7-14,0,0,male,white,9,utk_face
3393,data/utk_face/images/37_0_0_20170104205628245.jpg.chip.jpg,4,31-40,0,0,male,white,37,utk_face
19621,data/utk_face/images/23_1_1_20170113010457776.jpg.chip.jpg,3,15-30,1,1,female,black,23,utk_face
6749,data/utk_face/images/27_0_0_20170117184509194.jpg.chip.jpg,3,15-30,0,0,male,white,27,utk_face
5206,data/utk_face/images/26_1_0_20170116153830684.jpg.chip.jpg,3,15-30,1,0,female,white,26,utk_face
19655,data/utk_face/images/69_1_1_20170117195205819.jpg.chip.jpg,6,66-116,1,1,female,black,69,utk_face
11879,data/utk_face/images/46_0_3_20170119200749075.jpg.chip.jpg,5,41-65,0,3,male,indian,46,utk_face
10381,data/utk_face/images/1_0_3_20161219230132696.jpg.chip.jpg,0,0-2,0,3,male,indian,1,utk_face
4777,data/utk_face/images/26_1_0_20170117174547382.jpg.chip.jpg,3,15-30,1,0,female,white,26,utk_face
2312,data/utk_face/images/27_0_0_20170116204126806.jpg.chip.jpg,3,15-30,0,0,male,white,27,utk_face
4411,data/utk_face/images/76_1_0_20170110183026065.jpg.chip.jpg,6,66-116,1,0,female,white,76,utk_face
2128,data/utk_face/images/68_0_0_20170111200803612.jpg.chip.jpg,6,66-116,0,0,male,white,68,utk_face
8280,data/utk_face/images/56_0_0_20170111201122422.jpg.chip.jpg,5,41-65,0,0,male,white,56,utk_face
14156,data/utk_face/images/8_1_0_20170103200956895.jpg.chip.jpg,2,7-14,1,0,female,white,8,utk_face
3480,data/utk_face/images/68_1_0_20170110183125200.jpg.chip.jpg,6,66-116,1,0,female,white,68,utk_face
10287,data/utk_face/images/56_0_0_20170111171747473.jpg.chip.jpg,5,41-65,0,0,male,white,56,utk_face
1344,data/utk_face/images/3_1_0_20170109191527360.jpg.chip.jpg,1,3-6,1,0,female,white,3,utk_face
1154,data/utk_face/images/41_0_3_20170119143544485.jpg.chip.jpg,5,41-65,0,3,male,indian,41,utk_face
8681,data/utk_face/images/27_1_0_20170103180510792.jpg.chip.jpg,3,15-30,1,0,female,white,27,utk_face
5736,data/utk_face/images/35_1_4_20170117203326008.jpg.chip.jpg,4,31-40,1,4,female,other,35,utk_face
7903,data/utk_face/images/15_1_4_20170103233304142.jpg.chip.jpg,3,15-30,1,4,female,other,15,utk_face
16629,data/utk_face/images/29_0_0_20170117202649479.jpg.chip.jpg,3,15-30,0,0,male,white,29,utk_face
3960,data/utk_face/images/52_1_1_20170110153724776.jpg.chip.jpg,5,41-65,1,1,female,black,52,utk_face
11446,data/utk_face/images/25_0_1_20170116002837310.jpg.chip.jpg,3,15-30,0,1,male,black,25,utk_face
23143,data/utk_face/images/28_1_3_20170119154512882.jpg.chip.jpg,3,15-30,1,3,female,indian,28,utk_face
4267,data/utk_face/images/2_1_2_20161219140650888.jpg.chip.jpg,0,0-2,1,2,female,asian,2,utk_face
18527,data/utk_face/images/26_1_2_20170116184702571.jpg.chip.jpg,3,15-30,1,2,female,asian,26,utk_face
11404,data/utk_face/images/26_0_0_20170117172041755.jpg.chip.jpg,3,15-30,0,0,male,white,26,utk_face
20788,data/utk_face/images/27_0_0_20170116220751583.jpg.chip.jpg,3,15-30,0,0,male,white,27,utk_face
10070,data/utk_face/images/47_0_0_20170109003435287.jpg.chip.jpg,5,41-65,0,0,male,white,47,utk_face
7687,data/utk_face/images/26_0_0_20170120134634767.jpg.chip.jpg,3,15-30,0,0,male,white,26,utk_face
12642,data/utk_face/images/25_1_1_20170113011541030.jpg.chip.jpg,3,15-30,1,1,female,black,25,utk_face
16001,data/utk_face/images/26_0_1_20170116204952113.jpg.chip.jpg,3,15-30,0,1,male,black,26,utk_face
11639,data/utk_face/images/45_0_3_20170119204725919.jpg.chip.jpg,5,41-65,0,3,male,indian,45,utk_face
507,data/utk_face/images/32_1_1_20170113005606791.jpg.chip.jpg,4,31-40,1,1,female,black,32,utk_face
19001,data/utk_face/images/9_1_2_20170102235115156.jpg.chip.jpg,2,7-14,1,2,female,asian,9,utk_face
19298,data/utk_face/images/33_0_3_20170117154355516.jpg.chip.jpg,4,31-40,0,3,male,indian,33,utk_face
3284,data/utk_face/images/28_0_0_20170116220611954.jpg.chip.jpg,3,15-30,0,0,male,white,28,utk_face
11031,data/utk_face/images/26_0_1_20170116205224008.jpg.chip.jpg,3,15-30,0,1,male,black,26,utk_face
21097,data/utk_face/images/4_0_0_20170110213500051.jpg.chip.jpg,1,3-6,0,0,male,white,4,utk_face
22053,data/utk_face/images/24_0_1_20170114025920224.jpg.chip.jpg,3,15-30,0,1,male,black,24,utk_face
11006,data/utk_face/images/22_0_2_20170116172148714.jpg.chip.jpg,3,15-30,0,2,male,asian,22,utk_face
8765,data/utk_face/images/24_1_0_20170116220232605.jpg.chip.jpg,3,15-30,1,0,female,white,24,utk_face
18099,data/utk_face/images/27_0_1_20170117175753874.jpg.chip.jpg,3,15-30,0,1,male,black,27,utk_face
3584,data/utk_face/images/24_1_3_20170104222408639.jpg.chip.jpg,3,15-30,1,3,female,indian,24,utk_face
232,data/utk_face/images/26_1_2_20170116180913581.jpg.chip.jpg,3,15-30,1,2,female,asian,26,utk_face
17092,data/utk_face/images/31_0_1_20170116002854242.jpg.chip.jpg,4,31-40,0,1,male,black,31,utk_face
13584,data/utk_face/images/1_0_3_20161220145416255.jpg.chip.jpg,0,0-2,0,3,male,indian,1,utk_face
5722,data/utk_face/images/24_0_0_20170113210126343.jpg.chip.jpg,3,15-30,0,0,male,white,24,utk_face
10576,data/utk_face/images/72_0_0_20170111222538530.jpg.chip.jpg,6,66-116,0,0,male,white,72,utk_face
4898,data/utk_face/images/25_0_4_20170103235145124.jpg.chip.jpg,3,15-30,0,4,male,other,25,utk_face
14070,data/utk_face/images/31_0_1_20170113142511604.jpg.chip.jpg,4,31-40,0,1,male,black,31,utk_face
20660,data/utk_face/images/25_1_2_20170116174852261.jpg.chip.jpg,3,15-30,1,2,female,asian,25,utk_face
23544,data/utk_face/images/29_0_1_20170117012800357.jpg.chip.jpg,3,15-30,0,1,male,black,29,utk_face
23682,data/utk_face/images/26_0_3_20170119180602948.jpg.chip.jpg,3,15-30,0,3,male,indian,26,utk_face
10457,data/utk_face/images/57_0_0_20170117191704100.jpg.chip.jpg,5,41-65,0,0,male,white,57,utk_face
1163,data/utk_face/images/24_1_4_20170117194833796.jpg.chip.jpg,3,15-30,1,4,female,other,24,utk_face
2201,data/utk_face/images/39_0_0_20170104181458853.jpg.chip.jpg,4,31-40,0,0,male,white,39,utk_face
12710,data/utk_face/images/57_0_0_20170109015522309.jpg.chip.jpg,5,41-65,0,0,male,white,57,utk_face
6826,data/utk_face/images/24_1_0_20170116222857892.jpg.chip.jpg,3,15-30,1,0,female,white,24,utk_face
9525,data/utk_face/images/2_0_4_20170103205319954.jpg.chip.jpg,0,0-2,0,4,male,other,2,utk_face
22227,data/utk_face/images/42_0_0_20170117171631214.jpg.chip.jpg,5,41-65,0,0,male,white,42,utk_face
15288,data/utk_face/images/26_1_4_20170117143809650.jpg.chip.jpg,3,15-30,1,4,female,other,26,utk_face
1213,data/utk_face/images/80_1_0_20170110140948978.jpg.chip.jpg,6,66-116,1,0,female,white,80,utk_face
9381,data/utk_face/images/4_0_2_20161219141105897.jpg.chip.jpg,1,3-6,0,2,male,asian,4,utk_face
1035,data/utk_face/images/56_1_3_20170109142023203.jpg.chip.jpg,5,41-65,1,3,female,indian,56,utk_face
19458,data/utk_face/images/45_0_3_20170119171417728.jpg.chip.jpg,5,41-65,0,3,male,indian,45,utk_face
17552,data/utk_face/images/39_1_3_20170104232838176.jpg.chip.jpg,4,31-40,1,3,female,indian,39,utk_face
19405,data/utk_face/images/26_1_1_20170117155009422.jpg.chip.jpg,3,15-30,1,1,female,black,26,utk_face
21881,data/utk_face/images/88_0_0_20170120230341067.jpg.chip.jpg,6,66-116,0,0,male,white,88,utk_face
7564,data/utk_face/images/35_0_1_20170116030207320.jpg.chip.jpg,4,31-40,0,1,male,black,35,utk_face
17343,data/utk_face/images/28_0_3_20170104220258078.jpg.chip.jpg,3,15-30,0,3,male,indian,28,utk_face
15047,data/utk_face/images/40_0_0_20170116221116416.jpg.chip.jpg,4,31-40,0,0,male,white,40,utk_face
16206,data/utk_face/images/1_0_3_20161219224706847.jpg.chip.jpg,0,0-2,0,3,male,indian,1,utk_face
3234,data/utk_face/images/54_0_3_20170120134355574.jpg.chip.jpg,5,41-65,0,3,male,indian,54,utk_face
658,data/utk_face/images/38_1_1_20170117121954647.jpg.chip.jpg,4,31-40,1,1,female,black,38,utk_face
3378,data/utk_face/images/58_1_1_20170113012151936.jpg.chip.jpg,5,41-65,1,1,female,black,58,utk_face
18462,data/utk_face/images/55_0_3_20170119203913495.jpg.chip.jpg,5,41-65,0,3,male,indian,55,utk_face
18806,data/utk_face/images/23_0_1_20170113133908465.jpg.chip.jpg,3,15-30,0,1,male,black,23,utk_face
8909,data/utk_face/images/53_1_0_20170104184642790.jpg.chip.jpg,5,41-65,1,0,female,white,53,utk_face
21676,data/utk_face/images/35_0_1_20170113142443251.jpg.chip.jpg,4,31-40,0,1,male,black,35,utk_face
16498,data/utk_face/images/3_0_4_20161221202214969.jpg.chip.jpg,1,3-6,0,4,male,other,3,utk_face
5897,data/utk_face/images/37_1_0_20170105172652727.jpg.chip.jpg,4,31-40,1,0,female,white,37,utk_face
245,data/utk_face/images/1_0_3_20161220144830816.jpg.chip.jpg,0,0-2,0,3,male,indian,1,utk_face
2173,data/utk_face/images/27_1_0_20170117144358667.jpg.chip.jpg,3,15-30,1,0,female,white,27,utk_face
716,data/utk_face/images/3_0_2_20161219204921420.jpg.chip.jpg,1,3-6,0,2,male,asian,3,utk_face
20868,data/utk_face/images/54_1_0_20170110124214646.jpg.chip.jpg,5,41-65,1,0,female,white,54,utk_face
20118,data/utk_face/images/25_1_1_20170116001337504.jpg.chip.jpg,3,15-30,1,1,female,black,25,utk_face
19112,data/utk_face/images/7_0_1_20170110220029050.jpg.chip.jpg,2,7-14,0,1,male,black,7,utk_face
229,data/utk_face/images/30_1_2_20170117091935370.jpg.chip.jpg,3,15-30,1,2,female,asian,30,utk_face
8558,data/utk_face/images/45_0_3_20170119200658085.jpg.chip.jpg,5,41-65,0,3,male,indian,45,utk_face
9439,data/utk_face/images/24_1_0_20170105000615467.jpg.chip.jpg,3,15-30,1,0,female,white,24,utk_face
3690,data/utk_face/images/27_1_2_20170116162949938.jpg.chip.jpg,3,15-30,1,2,female,asian,27,utk_face
3941,data/utk_face/images/17_1_0_20170109204406514.jpg.chip.jpg,3,15-30,1,0,female,white,17,utk_face
9394,data/utk_face/images/26_1_2_20170116180422018.jpg.chip.jpg,3,15-30,1,2,female,asian,26,utk_face
12416,data/utk_face/images/22_1_1_20170113010358791.jpg.chip.jpg,3,15-30,1,1,female,black,22,utk_face
12339,data/utk_face/images/65_0_0_20170104185514678.jpg.chip.jpg,5,41-65,0,0,male,white,65,utk_face
13519,data/utk_face/images/24_1_2_20170112204459483.jpg.chip.jpg,3,15-30,1,2,female,asian,24,utk_face
12451,data/utk_face/images/3_1_2_20161219141400280.jpg.chip.jpg,1,3-6,1,2,female,asian,3,utk_face
9711,data/utk_face/images/41_0_4_20170111181750392.jpg.chip.jpg,5,41-65,0,4,male,other,41,utk_face
13155,data/utk_face/images/35_1_0_20170105162344803.jpg.chip.jpg,4,31-40,1,0,female,white,35,utk_face
15010,data/utk_face/images/10_1_0_20170109203917216.jpg.chip.jpg,2,7-14,1,0,female,white,10,utk_face
2077,data/utk_face/images/20_0_1_20170113133041441.jpg.chip.jpg,3,15-30,0,1,male,black,20,utk_face
19446,data/utk_face/images/28_1_0_20170116211814489.jpg.chip.jpg,3,15-30,1,0,female,white,28,utk_face
5554,data/utk_face/images/1_1_2_20161219155927997.jpg.chip.jpg,0,0-2,1,2,female,asian,1,utk_face
8146,data/utk_face/images/2_0_0_20170110211511626.jpg.chip.jpg,0,0-2,0,0,male,white,2,utk_face
2165,data/utk_face/images/72_0_0_20170120225636180.jpg.chip.jpg,6,66-116,0,0,male,white,72,utk_face
14792,data/utk_face/images/39_1_0_20170103184109643.jpg.chip.jpg,4,31-40,1,0,female,white,39,utk_face
15017,data/utk_face/images/24_1_3_20170104223049680.jpg.chip.jpg,3,15-30,1,3,female,indian,24,utk_face
8453,data/utk_face/images/30_1_0_20170105165034356.jpg.chip.jpg,3,15-30,1,0,female,white,30,utk_face
19193,data/utk_face/images/60_1_0_20170110122614299.jpg.chip.jpg,5,41-65,1,0,female,white,60,utk_face
8092,data/utk_face/images/38_1_2_20170116192323993.jpg.chip.jpg,4,31-40,1,2,female,asian,38,utk_face
3244,data/utk_face/images/26_1_0_20170117175343265.jpg.chip.jpg,3,15-30,1,0,female,white,26,utk_face
15034,data/utk_face/images/26_1_0_20170117200609068.jpg.chip.jpg,3,15-30,1,0,female,white,26,utk_face
9247,data/utk_face/images/50_0_3_20170119204352551.jpg.chip.jpg,5,41-65,0,3,male,indian,50,utk_face
5053,data/utk_face/images/60_1_0_20170110122425732.jpg.chip.jpg,5,41-65,1,0,female,white,60,utk_face
13685,data/utk_face/images/25_0_3_20170104214602149.jpg.chip.jpg,3,15-30,0,3,male,indian,25,utk_face
13316,data/utk_face/images/4_0_3_20161220220934786.jpg.chip.jpg,1,3-6,0,3,male,indian,4,utk_face
6859,data/utk_face/images/29_1_4_20170103224739152.jpg.chip.jpg,3,15-30,1,4,female,other,29,utk_face
1101,data/utk_face/images/18_0_3_20170104225820545.jpg.chip.jpg,3,15-30,0,3,male,indian,18,utk_face
9236,data/utk_face/images/19_0_2_20170116212031170.jpg.chip.jpg,3,15-30,0,2,male,asian,19,utk_face
2110,data/utk_face/images/33_1_1_20170112233308831.jpg.chip.jpg,4,31-40,1,1,female,black,33,utk_face
3328,data/utk_face/images/65_0_3_20170104215624533.jpg.chip.jpg,5,41-65,0,3,male,indian,65,utk_face
11631,data/utk_face/images/50_0_1_20170113152855753.jpg.chip.jpg,5,41-65,0,1,male,black,50,utk_face
21423,data/utk_face/images/24_1_1_20170116200854756.jpg.chip.jpg,3,15-30,1,1,female,black,24,utk_face
17903,data/utk_face/images/15_1_0_20170109203912357.jpg.chip.jpg,3,15-30,1,0,female,white,15,utk_face
9176,data/utk_face/images/21_1_2_20170103201741359.jpg.chip.jpg,3,15-30,1,2,female,asian,21,utk_face
15341,data/utk_face/images/43_0_0_20170112220318448.jpg.chip.jpg,5,41-65,0,0,male,white,43,utk_face
14342,data/utk_face/images/3_1_2_20161219205457437.jpg.chip.jpg,1,3-6,1,2,female,asian,3,utk_face
20902,data/utk_face/images/23_0_4_20170117194027228.jpg.chip.jpg,3,15-30,0,4,male,other,23,utk_face
22219,data/utk_face/images/23_1_4_20170117194317100.jpg.chip.jpg,3,15-30,1,4,female,other,23,utk_face
9730,data/utk_face/images/49_1_0_20170110154336582.jpg.chip.jpg,5,41-65,1,0,female,white,49,utk_face
11763,data/utk_face/images/36_0_3_20170119195506419.jpg.chip.jpg,4,31-40,0,3,male,indian,36,utk_face
20000,data/utk_face/images/52_1_4_20170104185604990.jpg.chip.jpg,5,41-65,1,4,female,other,52,utk_face
19797,data/utk_face/images/30_1_1_20170113011304520.jpg.chip.jpg,3,15-30,1,1,female,black,30,utk_face
21941,data/utk_face/images/38_1_1_20170117190452524.jpg.chip.jpg,4,31-40,1,1,female,black,38,utk_face
23415,data/utk_face/images/1_0_0_20170110212623527.jpg.chip.jpg,0,0-2,0,0,male,white,1,utk_face
8484,data/utk_face/images/40_0_4_20170117135456629.jpg.chip.jpg,4,31-40,0,4,male,other,40,utk_face
20186,data/utk_face/images/48_0_0_20170113190615656.jpg.chip.jpg,5,41-65,0,0,male,white,48,utk_face
4182,data/utk_face/images/22_0_1_20170113132548672.jpg.chip.jpg,3,15-30,0,1,male,black,22,utk_face
20834,data/utk_face/images/61_0_0_20170113185438888.jpg.chip.jpg,5,41-65,0,0,male,white,61,utk_face
22712,data/utk_face/images/23_0_1_20170113195604509.jpg.chip.jpg,3,15-30,0,1,male,black,23,utk_face
10193,data/utk_face/images/27_0_1_20170114034625293.jpg.chip.jpg,3,15-30,0,1,male,black,27,utk_face
9616,data/utk_face/images/75_0_0_20170111201111541.jpg.chip.jpg,6,66-116,0,0,male,white,75,utk_face
12133,data/utk_face/images/45_0_4_20170104200726522.jpg.chip.jpg,5,41-65,0,4,male,other,45,utk_face
3169,data/utk_face/images/35_1_4_20170117203924087.jpg.chip.jpg,4,31-40,1,4,female,other,35,utk_face
17041,data/utk_face/images/28_1_2_20170116164200987.jpg.chip.jpg,3,15-30,1,2,female,asian,28,utk_face
21100,data/utk_face/images/35_1_3_20170104235136827.jpg.chip.jpg,4,31-40,1,3,female,indian,35,utk_face
21315,data/utk_face/images/35_1_3_20170119150744831.jpg.chip.jpg,4,31-40,1,3,female,indian,35,utk_face
16964,data/utk_face/images/23_1_2_20170116164541818.jpg.chip.jpg,3,15-30,1,2,female,asian,23,utk_face
21512,data/utk_face/images/37_0_0_20170104205214549.jpg.chip.jpg,4,31-40,0,0,male,white,37,utk_face
1240,data/utk_face/images/22_1_3_20170104231655336.jpg.chip.jpg,3,15-30,1,3,female,indian,22,utk_face
18707,data/utk_face/images/41_1_1_20170117021604893.jpg.chip.jpg,5,41-65,1,1,female,black,41,utk_face
6947,data/utk_face/images/34_0_1_20170113151922160.jpg.chip.jpg,4,31-40,0,1,male,black,34,utk_face
17946,data/utk_face/images/26_0_0_20170117003342340.jpg.chip.jpg,3,15-30,0,0,male,white,26,utk_face
10101,data/utk_face/images/4_0_2_20161219153822276.jpg.chip.jpg,1,3-6,0,2,male,asian,4,utk_face
11679,data/utk_face/images/25_1_1_20170116162433766.jpg.chip.jpg,3,15-30,1,1,female,black,25,utk_face
22620,data/utk_face/images/1_0_0_20170110213328641.jpg.chip.jpg,0,0-2,0,0,male,white,1,utk_face
12326,data/utk_face/images/28_1_0_20170104181556245.jpg.chip.jpg,3,15-30,1,0,female,white,28,utk_face
6177,data/utk_face/images/56_1_3_20170109142228705.jpg.chip.jpg,5,41-65,1,3,female,indian,56,utk_face
5066,data/utk_face/images/58_0_0_20170113180611940.jpg.chip.jpg,5,41-65,0,0,male,white,58,utk_face
10664,data/utk_face/images/32_0_0_20170117182416733.jpg.chip.jpg,4,31-40,0,0,male,white,32,utk_face
8588,data/utk_face/images/20_0_3_20170119150802863.jpg.chip.jpg,3,15-30,0,3,male,indian,20,utk_face
8691,data/utk_face/images/48_0_3_20170109142337247.jpg.chip.jpg,5,41-65,0,3,male,indian,48,utk_face
10702,data/utk_face/images/32_0_4_20170104170351168.jpg.chip.jpg,4,31-40,0,4,male,other,32,utk_face
